,Cluster,Companies,ATR
0,0,AXP,1.423844826375374
1,1,BA,3.7958811776438575
2,2,GS,3.6345662846011404
3,3,WMT,1.1139784160609678
4,3,PG,1.0298870517494163
5,3,NKE,0.9709793574007255
6,3,MSFT,1.2868774894535178
7,3,MRK,0.8651296849294163
8,4,CRM,2.1947878198063493
9,5,IBM,2.097094337796182
10,6,AMGN,2.6661662681006852
11,7,VZ,0.607337788118657
12,7,KO,0.4935970769240294
13,7,AAPL,0.67728569359244
14,7,CSCO,0.5384148131620555
15,7,INTC,0.6960919543592755
16,8,WBA,1.1216487183183956
17,8,JPM,1.3095535192882748
18,8,DIS,1.487337099925929
19,8,V,1.501658019408468
20,8,JNJ,1.3065970870744426
21,9,UNH,2.7508094747233702
22,10,MMM,2.1030049164809195
23,11,CAT,2.078519021116068
24,12,CVX,1.6318892328886123
25,13,HD,1.9880768534727546
26,14,HON,1.6070988451581896
27,14,MCD,1.651534604139942
28,14,TRV,1.4240559483162625
